year,point,lo_80,hi_80,lo_95,hi_95,method,iso3_code,country_name
2024,825.590565910308,805.4228584887246,845.7582733318914,794.7467190766872,856.4344127439288,ARIMA,CHN,China
2025,892.2627549255315,865.5486930120481,918.9768168390148,851.4071228628837,933.1183869881792,ARIMA,CHN,China
2026,958.9349439407549,920.6980575713784,997.1718303101314,900.45667261729,1017.4132152642198,ARIMA,CHN,China
2027,1025.6071329559784,972.2631104330319,1078.9511554789249,944.0244906757681,1107.1897752361888,ARIMA,CHN,China
2028,1092.2793219712019,1021.1610396986812,1163.3976042437225,983.5132951923575,1201.045348750046,ARIMA,CHN,China
2024,14005.734993825108,13645.44987560564,14366.020112044576,13454.726454753305,14556.743532896911,ARIMA,USA,United States of America
2025,14271.413913687618,13761.893813180453,14780.934014194783,13492.170164748888,15050.657662626349,ARIMA,USA,United States of America
2026,14537.092833550127,13913.060703583049,15161.124963517204,13582.718048473464,15491.46761862679,ARIMA,USA,United States of America
2027,14802.771753412639,14082.201516973702,15523.341989851575,13700.754675269032,15904.788831556245,ARIMA,USA,United States of America
2028,15068.450673275147,14262.828657654869,15874.072688895425,13836.358123727747,16300.543222822547,ARIMA,USA,United States of America
2024,86.86027856043202,82.86603083235889,90.85452628850516,80.75160380802167,92.96895331284237,ARIMA,IND,India
2025,89.03385978644454,83.3851404779256,94.68257909496347,80.39488910345972,97.67283046942936,ARIMA,IND,India
2026,91.20744101245705,84.28920100941784,98.12568101549627,80.6269059743691,101.78797605054501,ARIMA,IND,India
2027,93.38102223846957,85.39252678232332,101.36951769461582,81.16367273364887,105.59837174329027,ARIMA,IND,India
2028,95.55460346448207,86.62319402553646,104.48601290342768,81.89519146565583,109.21401546330831,ARIMA,IND,India
2024,1006.1828296260917,976.8278169092517,1035.5378423429315,961.2882118537105,1051.0774473984727,ARIMA,BRA,Brazil
2025,1021.7977136154773,988.8345696079313,1054.7608576230232,971.3849352232612,1072.2104920076933,ARIMA,BRA,Brazil
2026,1037.4125976048629,1001.1990510494838,1073.626144160242,982.0287574931735,1092.7964377165522,ARIMA,BRA,Brazil
2027,1053.0274815942485,1013.8321624174005,1092.2228007710964,993.0834137825655,1112.9715494059315,ARIMA,BRA,Brazil
2028,1068.6423655836343,1026.6766041032158,1110.6081270640527,1004.4612719025031,1132.8234592647655,ARIMA,BRA,Brazil
