"column","n","n_iqr_outliers","n_3sd_outliers","iqr_lo","iqr_hi","sd3_lo","sd3_hi"
"che_pc_usd2023",4516,591,111,-1537.5363995217,2773.81053953037,-4756.53263811205,7062.44445276269
"hf3_che",4588,0,0,-29.2799823432071,92.6648596643998,-26.0175576945538,92.3617776284963
