iso3_code,country_name,base_che,shock_che,base_oops,shock_oops,base_gghed,shock_gghed,che_delta_pct,oops_delta_pp,gghed_delta_pp
AFG,Afghanistan,3028678896.4962587,3483883975.0176463,76.81836835546218,76.65805556714925,3.3513946499999996,3.908377903333334,15.029823037628509,-0.16031278831293605,0.5569832533333345
AGO,Angola,2345665752.541329,2853312729.531309,33.14308709698156,28.25935063128097,45.511157989999994,52.49158986666666,21.64191451573985,-4.88373646570059,6.980431876666664
ALB,Albania,1391074552.8962543,1592701198.6355884,56.41222500772797,55.812186224142074,42.68026733000001,42.997992196666665,14.494309116613632,-0.6000387835858945,0.31772486666665856
AND,Andorra,256434433.4205356,280677364.9266904,12.731999936383808,10.440768813493245,71.32620239,72.51318868,9.453851880491413,-2.2912311228905633,1.186986289999993
ARE,United Arab Emirates,20487920532.774433,24298642151.782444,12.231621143658938,10.465532254022529,51.17391205,63.620449066666666,18.599845762345755,-1.7660888896364089,12.446537016666667
ARG,Argentina,63433540965.87849,65221397290.16964,23.27544148531435,23.887811504722855,61.46165085,60.59955597333333,2.8184715799688025,0.6123700194085053,-0.8620948766666672
ARM,Armenia,2289277489.368041,2311540354.0011115,84.79430364872144,78.53171239588343,12.405081750000004,18.077898026666666,0.9724843203353286,-6.262591252838007,5.672816276666662
ATG,Antigua and Barbuda,87462174.68560417,89158012.34488256,24.265099962466515,19.899298670788102,58.43976212,63.65254974333333,1.9389383643550302,-4.365801291678412,5.212787623333334
AUS,Australia,163030431779.51984,174966826138.28128,15.01641500836574,14.94281767731099,73.50791167999998,74.38028971333333,7.321574400848096,-0.07359733105475108,0.872378033333348
AUT,Austria,53110117258.03253,57076412671.60739,18.759240386204795,16.49688682524072,74.22563934000001,77.028862,7.468059982441454,-2.262353560964076,2.8032226599999888
AZE,Azerbaijan,2820507743.5069766,3138943718.231522,71.34140805662084,63.37291211625051,25.568614960000005,33.11122004,11.2900230626067,-7.968495940370325,7.542605079999994
BDI,Burundi,354791113.45787776,380248303.89837307,22.217195771148713,23.30755195420064,25.1411171,21.102139153333333,7.1752615764198655,1.0903561830519273,-4.038977946666666
BEL,Belgium,65608846032.950035,67773649065.04663,20.59959971638959,20.35162954793152,74.45122527999999,75.07729085333334,3.299559682865615,-0.24797016845807107,0.6260655733333493
BEN,Benin,469670687.3317344,518321907.2577464,54.70105292870377,52.66344350852674,15.19810677,15.070022903333333,10.358581286476795,-2.037609420177027,-0.1280838666666675
BFA,Burkina Faso,993834091.845466,1422591885.6840732,34.67799087852815,40.680324939579144,41.79482269,38.416603089999995,43.1417876843448,6.002334061050995,-3.3782196000000013
BGD,Bangladesh,7170027185.890949,8303676379.825742,76.47038207312889,77.12985676922517,16.974027630000005,16.284756660000003,15.810946939860521,0.6594746960962823,-0.6892709700000026
BGR,Bulgaria,6593366434.234041,7845469159.821797,37.795538146676066,34.776653792302774,59.1558342,62.25914764333333,18.99034033792806,-3.0188843543732915,3.1033134433333274
BHR,Bahrain,1614194350.8416955,1790487711.8140895,29.9793541608217,26.63493178411207,58.27348709,62.62188466,10.9214457899985,-3.3444223767096304,4.348397569999996
BHS,Bahamas,793323816.3365712,882639648.9856113,27.584305992689515,24.53027727446322,50.37773895,55.87172444666667,11.258433291651924,-3.054028718226295,5.493985496666667
