"iso3_code","country_name","hf3_che","gghed_che","che_pc_usd2023","life_exp","u5mr","maha"
"USA","United States of America",10.9272387746872,53.95373535,13740.0560739626,78.3853658536585,6.5,50.3512216272939
"CHE","Switzerland",22.02737481431,33.08256912,11759.4621192408,84.1560975609756,3.9,35.975746427531
"NRU","Nauru",0.731749221362162,83.6470871,2292.37321408462,62.109,8.7,30.3306275620886
"FSM","Micronesia (Federated States of)",2.5810563190795,14.23240566,507.778474917873,67.198,23.1,27.2885533260177
"NER","Niger",51.4802265660273,24.00525284,26.0130152069558,61.183,113.5,21.4806971144034
"NGA","Nigeria",71.9048163490124,14.33912182,66.8200927932603,54.462,116.8,20.770041717296
"MWI","Malawi",12.0028682344499,12.81832027,41.2666480846587,67.353,49.6,17.3946100700526
"SOM","Somalia",30.7794901728775,14.16550159,22.370654795208,58.816,104.3,13.5992972705201
"SSD","South Sudan",27.1447614305118,4.31647301,72.7558319514655,57.617,96.7,13.2717002447368
"TCD","Chad",51.6791478170724,25.24867439,47.4389288133608,55.069,100.6,12.1485894175946
"NOR","Norway",13.687247811508,86.10611725,8250.33628229901,83.0121951219512,2.4,11.2812055307864
"ARM","Armenia",80.4719630553955,15.71054554,761.549435587533,77.4658536585366,10,10.6450868715091
"MCO","Monaco",8.4535807375092,85.65138245,8004.27158021458,86.372,2.7,10.2411535565924
"GIN","Guinea",54.4157417346389,21.83618927,59.3300996695866,60.74,95,10.1246926706939
"SLE","Sierra Leone",54.4692410848992,16.71863747,35.762047606638,61.786,93.8,9.7703231794292
"MOZ","Mozambique",10.3706652707756,26.45714378,52.9616663894888,63.611,61.7,9.53003789500166
"COD","Democratic Republic of the Congo",38.003547914224,18.72224808,23.4314887857509,61.895,91.3,9.2430998120361
"LSO","Lesotho",13.1970846245848,46.33968353,122.639827440577,57.375,61.3,9.20404644643086
"TON","Tonga",5.86377465182863,46.25782394,357.545865090101,72.895,9.8,8.97944311308131
"BDI","Burundi",24.4898296003601,14.73785591,28.1402878953787,63.651,48.7,8.93787174766869
