"Estimate","Std. Error","t value","Pr(>|t|)","term"
-5.16844926428541,0.0483267896305397,-106.947912406316,0,"(Intercept)"
1.27221246916255,0.00464329963410243,273.9888806268,0,"lgdp"
0.0206704077868733,0.0443384410173457,0.466196088824747,0.641098003327964,"factor(year)2001"
0.0244985405782163,0.0441595903423289,0.554772822580589,0.579077984236567,"factor(year)2002"
0.0343931587976005,0.0439742579338523,0.782120277034258,0.434185569726315,"factor(year)2003"
0.00866576592121488,0.0438394364742103,0.197670559162245,0.843311868193666,"factor(year)2004"
-0.00448981463396518,0.0437085306245157,-0.102721701457676,0.918188485240948,"factor(year)2005"
-0.031264074769846,0.0435806057936623,-0.717385043197187,0.473174259089065,"factor(year)2006"
-0.0655526627315412,0.0434568149962593,-1.50845529607229,0.131509141789643,"factor(year)2007"
-0.0642724797375951,0.0433308367263136,-1.48329652952592,0.138066573001706,"factor(year)2008"
-0.0121421685564286,0.0432056721789058,-0.281031816983435,0.778699082464734,"factor(year)2009"
-0.0517786292345805,0.0430714422166043,-1.20215684847951,0.229366831111251,"factor(year)2010"
-0.0703889591203944,0.0429550350934033,-1.63866608343673,0.101353625528319,"factor(year)2011"
-0.0619623565914119,0.0428405292128872,-1.44634900011395,0.148149877427376,"factor(year)2012"
-0.0363110703959727,0.0427067650443669,-0.850241650432903,0.395236564870539,"factor(year)2013"
-0.0409457229049437,0.0425964534604619,-0.961247230193697,0.336480182859386,"factor(year)2014"
-0.0293448195397009,0.0424886126181579,-0.690651394137548,0.489820719800298,"factor(year)2015"
-0.0336806783872649,0.0423839674577633,-0.794656102471496,0.426856018369834,"factor(year)2016"
-0.0773346444246459,0.0422834449612948,-1.82895798805977,0.0674728972106918,"factor(year)2017"
-0.0995193211506815,0.042151316762161,-2.3610014774205,0.0182685987286786,"factor(year)2018"
-0.0934205459335378,0.0421044529454934,-2.2187806609072,0.0265519953013654,"factor(year)2019"
0.00550065666287417,0.0420008731087586,0.130965293236418,0.895808692238797,"factor(year)2020"
-0.0034226878765699,0.0419388382450973,-0.0816114136630863,0.934959400813749,"factor(year)2021"
-0.0349940287699749,0.0419184908761493,-0.834811273940344,0.403868861769193,"factor(year)2022"
-0.0545794046918198,0.0418699948208684,-1.30354457709694,0.192456448015179,"factor(year)2023"
