iso3_code,continent,y_2023,y_2000,log_start,log_end,growth
ALB,Europe,687.8942789950452,182.208639843467,5.205152403259583,6.533635161874395,0.05776011993977444
DZA,Africa,233.3794685498808,131.4938311793074,4.878959939333481,5.452665749187438,0.024943730863215507
AND,Europe,3605.1978812378584,2355.825709824689,7.764646564880826,8.190131938985937,0.018499364091526586
AGO,Africa,76.07118313175188,39.02232226579569,3.664133848180457,4.331669522085997,0.029023290169806096
ATG,Americas,841.244299020612,833.9948281597628,6.726227201092232,6.734882104140269,3.763001325233169e-4
ARG,Americas,1456.9860501533783,958.6713514744825,6.865548316956245,7.284125231786555,0.01819899629697
ARM,Asia,761.5494355875327,79.22952513114896,4.372349021410646,6.635355088924784,0.09839156815278857
AUS,Oceania,6925.715294959382,3785.9407453919544,8.23904968066738,8.842996617412206,0.026258562467166357
AUT,Europe,6249.406986628698,4379.24310675208,8.38463118176009,8.740241856089444,0.015461333666493637
AZE,Asia,304.66029797907953,57.44053541809765,4.050750246042236,5.719197378778974,0.07254117968420598
BHS,Americas,2262.337193946525,1425.6264162259877,7.2623665864452525,7.7241537145082715,0.02007770122013126
BHR,Asia,1170.3038339018142,939.6242100191954,6.845480018756766,7.065018681174512,0.009545159235554155
BGD,Asia,53.46432593722638,14.636881667946023,2.6835444850219092,3.9790146265770328,0.05632478876326624
BRB,Americas,1286.4768201008728,1149.8806932151738,7.047413470945124,7.159662613759922,0.004880397513686852
BLR,Europe,554.4180169484836,165.5570119188209,5.109315618389687,6.317918945450967,0.0525479707417948
BEL,Europe,5912.3101688998995,3509.640815402795,8.163268979429581,8.684791925544781,0.022674910700660852
BLZ,Americas,309.40798273437997,199.83574137055643,5.297495735954828,5.734660738499023,0.019007174023660627
BEN,Africa,46.528224480519086,28.11786919879937,3.336405288779742,3.8400591065323053,0.021897992076198407
BTN,Asia,162.1967988232842,53.728914342679566,3.983951298742426,5.088810405501871,0.04803735246780194
BOL,Americas,255.04104385107178,101.16279700658255,4.616731070753085,5.541424488485067,0.04020406164052095
BIH,Europe,772.8856459907774,259.76313299123973,5.559770188821485,6.650131102315034,0.04740699623884995
BWA,Africa,489.596850806889,329.59595299382926,5.7978675194217955,6.193582299001958,0.017204990416528787
BRA,Americas,1009.8356799688765,634.8933394580678,6.453457015426886,6.917542903499225,0.020177647307493003
BRN,Asia,733.004647842415,1014.2270846937579,6.921882108480332,6.597152042715682,-0.014118698511506537
BGR,Europe,1258.0933147655624,351.00959997254193,5.860813573440974,7.137352611588546,0.055501697310763994
BFA,Africa,71.7345499157008,21.286572868842068,3.0580764921967636,4.272972499267072,0.052821565524796034
BDI,Africa,28.140287895378663,15.018820750065467,2.709304131274099,3.3372022824575995,0.027299919616673933
CPV,Africa,290.1259199974041,91.08567895593855,4.511800590546668,5.670315035627588,0.05037019326438786
KHM,Asia,114.56296032250259,46.18239330252479,3.8325986281036957,4.741124543682436,0.039501126764293064
CMR,Africa,79.09996624519758,60.3331596013686,4.099881863058243,4.370712448037709,0.011775242825194168
CAN,Americas,6065.587839892872,3763.1775441845593,8.233018971033587,8.710386739994311,0.02075512038959668
CAF,Africa,53.81136229349544,26.735976495364056,3.286010092714563,3.985484639915588,0.030411936834827187
TCD,Africa,47.438928813360825,26.685635910384175,3.2841254397580775,3.8594431746149978,0.025013814558996535
CHL,Americas,1736.5205043579329,708.23160480662,6.56277116563294,7.459638679979624,0.038994239754203644
CHN,Asia,769.8035310018586,103.47121073305306,4.639293416843974,6.64613532774723,0.08725399612622854
COL,Americas,571.1549610844769,232.33919682310636,5.448198359176136,6.347660558274556,0.039107052134713924
COM,Africa,102.23101857812894,97.6086667970145,4.5809662886263744,4.6272351403124485,0.0020116892037423516
COG,Africa,75.55331967890487,48.83312504597105,3.8884088745096985,4.324838627910984,0.01897520666962112
CRI,Americas,1163.3023266354928,600.1715035218242,6.397215453574945,7.059018072851231,0.028774026925055915
HRV,Europe,1562.9166643797464,866.3171763958443,6.764251096006294,7.354309011264749,0.025654691967758898
CYP,Asia,2045.9406042756698,983.5647592660372,6.891183481381804,7.623612915921894,0.03184475802348221
CZE,Europe,2662.1068485515184,1109.3125818748113,7.011495806855367,7.886873136598636,0.03805988390188124
CIV,Africa,87.68105771570623,67.88399580917448,4.217800304413917,4.473705886490381,0.011126329655498462
COD,Africa,23.431488785750936,5.659795247036871,1.7333877161255629,3.154080792359774,0.061769264184096125
DNK,Europe,6511.921630066337,4462.170724736265,8.40339063619154,8.781389872914986,0.01643474942275849
DJI,Africa,77.57084005174853,62.06218258375573,4.1281368273311765,4.35119158403997,0.009698032900382335
DMA,Americas,492.4561594190792,388.4901575122639,5.962267834898009,6.199405440241987,0.010310330667129487
DOM,Americas,488.8727649722338,242.9828692330729,5.492990943872281,6.192102261287644,0.03039614423545059
ECU,Americas,509.49414806983924,154.16609197971235,5.0380305405782595,6.23341836696353,0.051973383755881335
EGY,Africa,141.41111222878348,83.62381387066908,4.426328334439508,4.951671337565491,0.02284100013591232
SLV,Americas,500.6949735007982,279.7663969886442,5.63395495848113,6.2159970803416265,0.025306179211325927
GNQ,Africa,233.6837959068503,71.7886442509681,4.273726305481362,5.4539689019857684,0.05131489550019159
ERI,Africa,28.297823986853928,31.730442366862196,3.4572765470945863,3.3427849107690437,-0.004977897231545331
EST,Europe,2251.2044010805607,774.7357843728885,6.6525220478359355,7.719220641351355,0.04637819971806172
SWZ,Africa,296.04562110099164,105.50913348308826,4.6587975224682845,5.690513567789158,0.04485721936177711
ETH,Africa,34.798469259109154,15.688782482529868,2.752945965424914,3.5495733990057725,0.034635975373080795
FJI,Oceania,212.88709142798618,142.34058570719114,4.95822267670874,5.360761937970986,0.01750170701140202
FIN,Europe,5532.467208723324,3129.7164951037335,8.048697702787713,8.618389144880677,0.024769193134476685
FRA,Europe,5141.894565697316,3653.983726290577,8.203573283258242,8.545176883083782,0.014852330427197372
GAB,Africa,252.9824024312531,272.2031562067561,5.606548685325587,5.5333199307007215,-0.0031838588967332657
GMB,Africa,25.74408289575728,87.07213564939808,4.46673692049881,3.248204810247845,-0.05297965696743324
GEO,Asia,568.0519442952959,149.35305154850607,5.006312976649609,6.342212865763855,0.058082603874532464
DEU,Europe,6381.6642646840255,4197.080548684979,8.342144455116303,8.761184198855233,0.018219119292996945
GHA,Africa,70.25730928976569,19.618345337609355,2.976465115086863,4.252164349630764,0.055465184110604394
GRC,Europe,1963.8464035677866,1497.4358547793345,7.311509494200268,7.582660279933453,0.01178916459709499
GRD,Americas,526.3918687189338,411.5280573029427,6.019877200788986,6.26604593292929,0.010702988353926295
GTM,Americas,392.0122219546096,218.59401128810512,5.387216179612845,5.971293017760061,0.025394645136835484
