iso3_code,PC1,PC2,PC3,PC4,country_name,cluster
AFG,-3.8351193412221782,-0.3245456582422256,0.265311867538913,-1.4632001067147315e-6,Afghanistan,1
ALB,-0.8164246799854558,0.8720876720026477,0.2732964933835626,-5.265004466192297e-7,Albania,3
DZA,-0.545360351210903,0.9020193372731912,0.2501273446530696,-4.290779088399028e-7,Algeria,3
AGO,-0.4600196822912891,0.25183811427837,-0.33517107832785237,-8.912104679084426e-7,Angola,3
ATG,0.5163209544150127,0.6494381269944128,-0.49534375833548716,-1.2435062960632124e-6,Antigua and Barbuda,3
ARG,0.49526724342889195,0.6360112051159538,-0.26382735296552595,-5.601102018185972e-7,Argentina,3
ARM,-3.682890709986114,1.173004846219293,0.18786896694265187,-4.152782410796147e-6,Armenia,1
AUS,1.4794904992264524,0.6342196725981274,-0.10057002395391013,1.0745215775441226e-6,Australia,2
AUT,1.6175490229971932,0.6490848873288391,0.040405807436650676,1.642065388397143e-6,Austria,2
AZE,-2.26375320052876,1.0383428514108446,0.2328954864061512,-2.207910239676501e-6,Azerbaijan,1
BHS,-0.13978366626776462,0.6660940384081605,-0.5466169544474142,-1.9322730673469086e-6,Bahamas,3
BHR,0.29340063901656227,0.7382315962324233,-0.16457362471429043,-4.3514856045724267e-7,Bahrain,3
BGD,-3.6370102104537936,0.9440806093738624,0.20783353932223791,-3.707441756507043e-6,Bangladesh,1
BRB,-1.293548617076852,0.8637028869635306,-1.809282188575123e-4,-1.8175095424691005e-6,Barbados,3
BLR,0.7151062975646784,0.7516299723551761,0.13556286000358408,8.776217793094791e-7,Belarus,2
BEL,1.3073388048748393,0.6969182178196298,0.1298858653033847,1.6660719430549119e-6,Belgium,2
BLZ,0.7121642061418705,0.6242738044830634,0.05538399662778096,7.687094736436204e-7,Belize,2
BEN,-1.6250038153931685,-1.8537964591766123,0.029813119242441344,2.9041350744703123e-6,Benin,1
BTN,0.9614863109549444,0.2827003446893043,0.24834312370583508,2.195109504253153e-6,Bhutan,2
BOL,0.8086627030468578,0.6615090186426983,0.15281565275214923,1.3624173150757494e-6,Bolivia (Plurinational State of),2
BIH,0.699703063782006,0.6987751747079416,0.30347622054526524,1.1321241878018053e-6,Bosnia and Herzegovina,2
BWA,2.096191085522552,0.06305091982407324,-0.2527006662394342,2.2399840387278025e-6,Botswana,2
BRA,-0.47002096696503726,0.6681079886914143,-0.8775028432443244,-3.4283572424883443e-6,Brazil,3
BRN,2.7804906660327697,0.5915281235584223,0.32308897040944606,3.812398814748027e-6,Brunei Darussalam,2
BGR,0.29431390880018204,0.789463635525775,0.2774730680886081,9.493474955963599e-7,Bulgaria,3
BFA,-1.180434312097075,-0.5968140463007603,0.10993572117171985,1.3177430372473013e-6,Burkina Faso,1
BDI,-0.5978390772265263,-3.351512490061182,0.01947613009692717,6.662012572880738e-6,Burundi,4
CPV,0.6206801669496621,-0.04711784630433327,0.10281925983365617,2.1849512389889493e-6,Cabo Verde,2
KHM,-2.186177993716334,0.23794366956688198,0.24352466805478812,-7.279546662834991e-7,Cambodia,1
CMR,-2.9886614685624817,0.048838333094037456,0.16436860932682373,-1.3759382960028336e-6,Cameroon,1
CAN,1.3137233020314414,0.6177586521878172,-0.2629698158704766,2.4174059058478944e-7,Canada,2
CAF,-1.6847924753771937,-1.9248031888494694,0.178778050293612,3.429752301774133e-6,Central African Republic,1
TCD,-1.7262837085540979,-0.6232989611764307,0.23156527193567122,1.1663138530315968e-6,Chad,1
CHL,-0.3109984744491057,0.7837442237973241,-0.2342627237960561,-1.340013937993111e-6,Chile,3
CHN,0.06659668782300895,0.7713695238475309,-0.10937749131895108,-7.034369729146839e-7,China,3
COL,1.332540046609782,0.6105195957078946,-0.2847633570760509,2.1780611339420077e-7,Colombia,2
COM,-2.445897388789035,-0.9043313929973061,0.09591470229959553,7.545448481649658e-7,Comoros,1
COG,-0.709784241495118,-0.35380661606804675,-0.6593201538667782,-1.2468891911437632e-6,Congo,3
COK,2.834692742534241,-0.024741855265340118,0.2862910695737215,4.894769339672071e-6,Cook Islands,2
CRI,0.8681257736274518,0.7083902116150219,-0.027759860556780425,5.096056910542606e-7,Costa Rica,2
HRV,2.2514610261557753,0.5843141910530846,0.06013991706723887,2.414220344289989e-6,Croatia,2
CUB,1.9963474207613539,0.6676273300379695,0.3255621116506727,2.8033948177170276e-6,Cuba,2
CYP,1.5983883786672113,0.6402727350827189,0.1259534142445432,1.6859224179961911e-6,Cyprus,2
CIV,-0.5304173019372342,-0.08298720087786636,-0.3323135105588499,-2.996661755928376e-7,Côte d'Ivoire,3
COD,-1.3028222135778351,-1.7941524941574072,-0.03842697979295656,2.7772847918123064e-6,Democratic Republic of the Congo,4
DJI,0.15291437904825506,-0.9069837259646362,0.19635098273991908,3.3058094746152945e-6,Djibouti,3
DMA,0.7766195816324369,0.5825776723012674,0.284353349787675,1.677471587322369e-6,Dominica,2
DOM,0.6916889866741275,0.6526417267388607,-0.08252818006686091,1.3793469271417365e-7,Dominican Republic,2
ECU,0.3807948564200325,0.7525148993947689,0.0453469150364924,2.1901611612401902e-7,Ecuador,3
EGY,-1.9822892832638521,0.7474802389051147,0.028979039920847383,-2.172425189949005e-6,Egypt,1
SLV,0.26980440498455177,0.7242293316110936,0.07694241132532553,2.404773021671512e-7,El Salvador,3
GNQ,-2.310552272108165,1.0115866267571503,0.2951328639438715,-2.0322738687636947e-6,Equatorial Guinea,1
ERI,-1.5944212844880958,-1.0851041900901481,0.2424668622721866,2.342058897338877e-6,Eritrea,1
EST,1.4061330375707675,0.7094690992262744,0.23956104147668794,1.9070570035530144e-6,Estonia,2
SWZ,0.6310857228426963,-1.4468473670604305,-0.4825554345532736,2.7217756284221807e-6,Eswatini,4
ETH,-1.6323870241280845,-1.001986390579987,0.0463585510909621,1.4019727570721247e-6,Ethiopia,1
FJI,2.0623458297347126,-0.24194287958827607,0.07581561670216463,3.7583192470370595e-6,Fiji,2
GAB,1.106949351806532,0.32441092131314175,-0.19915979361960856,9.641548679299122e-7,Gabon,2
GMB,-0.21647493954819613,-0.43509634249414353,0.11859904437059837,2.058938932603542e-6,Gambia,3
GEO,-2.0168584768629607,0.947449599699661,0.05201855229772545,-2.555707002381056e-6,Georgia,1
GHA,0.7875927317819134,0.14431874922411295,0.23721236195148093,2.2957899769993085e-6,Ghana,2
GRC,-0.34947075200604616,0.7591221711088111,-0.275550690525851,3.9189893724242265e-7,Greece,3
GRD,-1.0210421708829984,0.7386929431628322,0.17078872174027004,-7.052916799898921e-7,Grenada,3
GTM,-1.797168522918083,0.790762954920027,0.15461969203057524,-1.6743548520404125e-6,Guatemala,1
GIN,-2.1045784470903635,-0.31393421890290574,0.04533814253675317,-2.604841142287722e-7,Guinea,1
GNB,-2.7650715420550593,-0.7431731438251663,0.14478122266229443,3.345612245010819e-7,Guinea-Bissau,1
GUY,0.9973770532061191,0.6575829960052192,0.22932196646463307,1.4196757810042223e-6,Guyana,2
HTI,-2.396709327026081,-1.2877227780533358,-0.0384330270057649,8.924797325017814e-7,Haiti,1
HND,-1.7080123237898868,0.24857702679860247,0.09677187997761261,-8.105341041010067e-7,Honduras,1
HUN,1.243864075468259,0.7142719963025903,0.1807256151031637,1.4974442071155865e-6,Hungary,2
ISL,2.066257971267722,0.6485783079443492,0.2569084885953885,2.73235267589519e-6,Iceland,2
IND,-1.229028888504118,0.6885630250483494,-0.27663589313045744,-2.2028903901348495e-6,India,3
IDN,-0.07918382183773225,0.71187351533518,-0.2744916072949938,-1.3040423203173317e-6,Indonesia,3
IRN,-0.8232400424663362,0.817402378302768,-0.057870731905810324,-1.4716852773810548e-6,Iran (Islamic Republic of),3
IRL,1.780138675656254,0.5912698031089378,-0.16645184995260698,1.2914572050652496e-6,Ireland,2
ISR,0.9089678275911317,0.5642444156275437,-0.19958361510313913,2.778874356908793e-7,Israel,2
ITA,1.2099886346554587,0.7200512157282813,0.19280129613092167,1.6069176338990062e-6,Italy,2
JAM,0.8956248066045407,0.48106140257471647,-0.20261750453708804,4.667095856026984e-7,Jamaica,2
JPN,2.207162788905112,0.6244133728082091,0.2060537121867302,2.578939635467116e-6,Japan,2
JOR,-0.4977396229534107,0.29062664164160784,-0.2462957103070477,-7.382430135777625e-7,Jordan,3
KAZ,0.6921661468421114,0.7324130823999556,0.06786616034503268,4.848913220367732e-7,Kazakhstan,2
KEN,0.14022557234999014,-0.7256302880978266,-0.16880839982560158,1.7760954140618117e-6,Kenya,3
KIR,2.371564767301022,-0.12891604650762423,-0.08360538468115641,3.254093686307026e-6,Kiribati,2
KWT,2.4811307011179955,0.6096271968455879,0.26657462020273515,3.271934251033697e-6,Kuwait,2
KGZ,-0.3391803880047364,0.5773916381018921,0.31177960877720445,7.687723892132567e-7,Kyrgyzstan,3
LAO,-0.8893128275704951,-0.18278487568258706,0.28126796176765356,1.4379805043149676e-6,Lao People's Democratic Republic,3
LVA,0.11279100075367379,0.8007729582107577,0.10888048787923695,-1.0206759426319126e-8,Latvia,3
LBN,-0.6645431488300585,-0.0024172935042210512,-0.6072757904940399,-1.6150299954580412e-6,Lebanon,3
LSO,1.0672735284188934,-2.233417067246256,0.2054664797281064,6.619568838294243e-6,Lesotho,4
LBR,-3.0238061717140097,-0.2581681591493757,-0.0707231859798485,-1.7024917587306931e-6,Liberia,1
LBY,1.754238808052106,0.6432720935499983,0.32373873155963795,2.7924457632351294e-6,Libya,2
LTU,0.5482187041826422,0.7588415862395825,0.17757899266707844,7.043228995143314e-7,Lithuania,3
LUX,2.4417276755737425,0.50741321778184445,0.18350981981310788,3.077368412581919e-6,Luxembourg,2
MDG,-0.39315552027134437,-1.964072226805028,-0.014984503079865291,4.1729149051191645e-6,Madagascar,4
MWI,-0.12067803750047656,-4.048799488368588,-0.26187804143262894,7.5706095500237204e-6,Malawi,4
MYS,-0.4742837076379225,0.8073471458957895,-0.1966068607975554,-1.653201782295279e-6,Malaysia,3
MDV,1.7416334596250909,0.5678234173744299,0.2601107979022462,2.3667463559471144e-6,Maldives,2
MLI,-1.442033277976625,0.47204940174243143,-0.15378091107600955,-1.641255503699341e-6,Mali,1
MLT,0.5980395845600587,0.7822629908200943,0.20209710391608338,8.637753874272585e-7,Malta,3
MHL,2.583699313481128,-1.0939603011665755,0.2177360933350907,6.261358040510959e-6,Marshall Islands,2
MRT,-1.065110696979899,-0.4914285343746877,0.16391764821977872,1.4721661877225423e-6,Mauritania,3
MUS,-0.9880767733001048,0.7489314989162862,-0.022776757346359644,-1.3418162595728878e-6,Mauritius,3
MEX,-0.6778832942298049,0.8500354873112462,-0.08515768021210829,-1.4513681342479937e-6,Mexico,3
FSM,0.3943127059264147,-4.557753625280242,-0.363008437507786,8.731589650662868e-6,Micronesia (Federated States of),4
MNG,-1.0153631401348853,0.6655085434465959,0.21635733479185743,-5.391373024284376e-7,Mongolia,3
MNE,0.9241636152180048,0.7317001519014343,0.1544156301635173,1.2385910662031116e-6,Montenegro,2
MAR,-0.10369942075026464,0.7848018820549615,0.09747084499518119,-1.9405387830801618e-7,Morocco,3
MOZ,0.48738522401874884,-3.497426696601106,-0.0676889782547554,7.599750810991925e-6,Mozambique,4
MMR,-3.5099529958621645,0.6672483769163418,-0.16493226440950304,-4.227341008861688e-6,Myanmar,1
NAM,1.1819688281062757,-0.27848604355977513,-0.627259326982147,6.420332980858043e-7,Namibia,2
NRU,2.8299353443251007,-0.4245232857137946,0.19594818604017217,5.230686913143841e-6,Nauru,2
NPL,-2.0135196819048167,0.5316254612601844,0.21100923683210404,-1.1830073378181692e-6,Nepal,1
NLD,1.3029395404368898,0.5761644462606264,-0.4703388713959652,-3.3421957657733954e-7,Netherlands (Kingdom of the),2
NIC,0.004491714724081913,0.6009524483530034,0.254289823060205,7.77996121822294e-7,Nicaragua,3
NER,-1.9846779068963436,-0.09845156299773392,-0.11964199702329958,-1.1275757985356055e-6,Niger,1
NGA,-3.223961127487516,0.3295635469084761,0.19388340049056674,-1.9935210213230782e-6,Nigeria,1
NIU,1.7457400627265753,-3.3298952763298217,0.1636560718735014,9.342384244045632e-6,Niue,4
NOR,2.233872275894728,0.6442138752519408,0.3171129834818922,3.1299816792088523e-6,Norway,2
OMN,2.4158471201697527,0.5593904437978094,-0.013988550263883237,2.3297184176074434e-6,Oman,2
PAK,-1.5043817772514165,0.2855065841024454,0.23028491382679883,-2.7110538684932405e-7,Pakistan,1
PLW,1.3514038739063483,-0.7075857526647606,-0.07557487267079566,3.468637711398527e-6,Palau,2
PAN,-0.49158387684209875,0.7964106270491922,0.017041423299791858,-8.522154464484558e-7,Panama,3
PNG,2.1368660037133957,-0.6909726056993697,0.2713216308589692,5.112672178550774e-6,Papua New Guinea,2
PRY,-0.15177610590393548,0.8114733226623179,-0.007789476576703536,-5.187465531564231e-7,Paraguay,3
PHL,-1.1155807908438726,0.8618339527647292,-0.20797461006935258,-2.202143107332957e-6,Philippines,3
POL,1.6718592507669903,0.6394050664782438,0.04170049434284173,1.5247525935332082e-6,Poland,2
PRT,0.395578594563281,0.7468487390694162,-0.047238332019150994,3.064976351864746e-5,Portugal,3
QAT,2.253535756437784,0.5655552260243482,-0.06269218562426204,2.028496643706166e-6,Qatar,2
KOR,0.1616813530408395,0.7711084041224318,-0.06610591953146494,-5.321276804192296e-7,Republic of Korea,3
MDA,0.9525277333678079,0.6097339154745309,0.2848873976291087,1.8104169786443283e-6,Republic of Moldova,2
ROU,1.3850647715526634,0.7200382375466201,0.2781901208565136,2.0001706760407235e-6,Romania,2
RWA,1.2949237779380756,-2.09707088020359,-0.266906491792688,5.288112189361634e-6,Rwanda,4
KNA,-0.3836602600613502,0.8718459181137947,0.1664233738389186,-4.966063135365983e-7,Saint Kitts and Nevis,3
LCA,-0.3291026805789802,0.46570721066252685,0.009593877645132087,-1.0255174059172402e-9,Saint Lucia,3
VCT,0.9399862950693277,0.6341426663865026,0.20923637422629768,1.5076573476957151e-6,Saint Vincent and the Grenadines,2
WSM,1.7247751322003326,-0.5338523856120992,0.2433932159849116,4.643639082751457e-6,Samoa,2
STP,0.5301836950177408,-2.456442957677001,0.09579070983989202,6.3380818004902106e-6,Sao Tome and Principe,4
SAU,1.7593840906540574,0.6260813091395455,-0.004245578269058359,1.5073338436559125e-6,Saudi Arabia,2
SEN,-1.5137885027143672,-0.32021780386333915,-0.18215835744508113,-3.497808748302385e-7,Senegal,1
SRB,0.5349695485974008,0.7945497264844735,0.23220537377316608,9.829217409004386e-7,Serbia,3
SYC,0.923440362106381,0.7606922057200698,0.25413525630168743,1.2788890854976243e-6,Seychelles,2
SLE,-2.1282235764688604,-1.0355361955517242,0.2301845873040952,1.4011566043906024e-6,Sierra Leone,1
SGP,0.34734859034453547,0.6997161451112182,-0.3289141415003553,-9.602153540214347e-7,Singapore,3
SVN,1.5577670068331881,0.5907058897887798,-0.2599530180342938,5.610101944559921e-7,Slovenia,2
SLB,2.123485502660843,-1.850232789345867,0.22223915923553128,-2.0747635554756082e-4,Solomon Islands,4
SOM,-0.8967119773402871,-3.0767641941394017,0.13850669225068551,6.1128921457360066e-6,Somalia,4
ZAF,1.1431843779879967,0.35795554864335016,-0.8849038336810987,-1.298701321600365e-6,South Africa,2
SSD,-1.1324099223999822,-3.6834568713568836,-0.11223055089125289,6.196619837857461e-6,South Sudan,4
LKA,-1.7715023638343155,0.5480969182344564,0.08302476786820523,-1.4192739479364866e-6,Sri Lanka,1
SDN,-2.3006511748961738,-0.15941431968406095,0.052325712649279765,-7.119222609702074e-7,Sudan,1
SUR,0.8468665099018018,0.29294279153484404,-0.2223799276870318,6.894615816085447e-7,Suriname,2
CHE,-0.9537364848505172,0.5918771300413908,-1.4978218596368476,-5.962295617554196e-6,Switzerland,3
SYR,-3.1930438146521176,0.3019779705002073,0.25760197555483266,-1.876828520367828e-6,Syrian Arab Republic,1
TJK,-2.294147170251222,0.21057530084772705,0.2873648933384686,-5.282615990072801e-7,Tajikistan,1
THA,1.8954549744712408,0.5728588788722182,-0.16594175905939546,1.2977816193446575e-6,Thailand,2
TLS,2.3578206821837426,-0.49896093759191495,0.27982493548316634,5.308391104083214e-6,Timor-Leste,2
TGO,-2.9520204805477173,-0.3573524186613448,0.08363120298185955,-8.072757266764724e-7,Togo,1
TON,1.3808420482869737,-2.5735975334607257,0.04605676274008408,7.313572279464875e-6,Tonga,4
TTO,-0.8123885299815163,0.8895380268878933,0.07193248817885217,-1.1314454693999139e-6,Trinidad and Tobago,3
TUN,-0.19656404093914395,0.6138307907747059,0.12075181148020309,1.5078376848316876e-7,Tunisia,3
TKM,-3.512254176389126,1.1477338247117714,0.11769810898826982,-4.192530861246601e-6,Turkmenistan,1
TUV,2.596085315842902,-1.397961259821403,0.2437588827523982,6.929916923927221e-6,Tuvalu,2
UGA,-0.7769728385905396,-2.3344048953813092,0.11596617527167566,4.779510066395629e-6,Uganda,4
ARE,1.2867791323222475,0.5459568478847799,-0.6315783968020738,-9.66866957893106e-7,United Arab Emirates,2
GBR,1.965552043449064,0.6422602190055094,0.17962840203266972,2.3116973298180722e-6,United Kingdom of Great Britain and Northern Ireland,2
TZA,-0.2201960396802729,-2.033373356797568,0.1673489994031993,4.948258287238232e-6,United Republic of Tanzania,4
USA,0.5387463056343118,0.5248166695847536,-1.101341688568621,-2.9656538874732622e-6,United States of America,3
URY,1.3694164020106627,0.6446437022741357,-0.10269136169404053,8.831171807657313e-7,Uruguay,2
UZB,-2.1035238920205717,1.0623593355049137,0.3080124486275606,-2.059308147438152e-6,Uzbekistan,1
VUT,1.56622884358788,-1.678432662591038,0.10528610719780762,5.833837459092994e-6,Vanuatu,4
VEN,-1.2480044056779511,0.6373871984594858,-1.2210389762442018,-5.4116678106433225e-6,Venezuela (Bolivarian Republic of),3
VNM,-0.8264376935477178,0.7370920292208772,-0.30032643701127637,-2.0316258438072038e-6,Viet Nam,3
YEM,-3.2189529766096534,-0.3866372613059465,0.21027696377210292,-9.186331742174688e-7,Yemen,1
ZMB,1.032050749250144,-2.7898466917664373,0.13899269656976132,7.408800468281032e-6,Zambia,4
ZWE,0.4850801202351568,-2.6093104484836873,-0.2967331351507124,5.295256513711476e-6,Zimbabwe,4
PSE,-0.8834798955375214,0.2489804759783471,-0.017593580192958924,-3.133556074638767e-7,"occupied Palestinian territory, including east Jerusalem",3
